,text
285,"Dear pelamar kerja, kalian tahu gak sih kalau google drive udah 80 gb itu udah lama banget? Tolong membantu kami de… https://t.co/VMoaqFJyJx"
286,"@arianifitriw Apalagi saya, yang sedang mengalaminya."
287,"""AKU"""
288,Oh abangku @jovialfayed
289,@rriniafrilia Nah ini nih. Mulai hayalan tingkat tingginya keluar 😅
290,@irwansyahm doakan semoga hasutanku berhasil
291,hashtag-nya 😂😂😂 @S_SiscaJKT48
292,"China, the most populous country in the world. With men ratio are greater than women.

Yet, some argue that men are… https://t.co/ha8ZHr6TIX"
293,"@bayu_joo ""seneng gw punya temen hobi fotografi kaya lu.""

dalam hati gw berkata, 'iye foto lu cakep2, giliran gw y… https://t.co/x2pReKOvNZ"
294,"#PutihkanJakarta di acara #KampanyeAkbarPrabowoSandi
#JalanSehatRoemahDjoeang
Minggu 7 April di GBK:… https://t.co/qt9hGptteC"
295,"OMG! OMG!
@RobertDowneyJr and @marisatomei 's ONLY YOU IS ON @NetflixID !!
😭😭😭💖💖💖 https://t.co/5VRxpJLz0M"
296,"@geloraco Padahal isinya gk seberapa.  Gk sampe 10 jutaan.  Mbok ya Kyainya nolak,  kl dia mrasa msh punya harga di… https://t.co/PXxdhhHIFJ"
297,@cigarduringsex 🌊 fyuuhhh...
298,#nlp #qnlp #syukur #quantumsyukur https://t.co/phfP36kKPV
299,"@Zainal_Fa Lu tau lah pasti wkwk,kalo ketemu jitak aja tum wkwk"
300,@negativisme Bukannya joker sndiri di komik beda beda ya? Ga cm joker yg versi heath ledger.. ga failed2 amat si me… https://t.co/9Zy7bytrZr
301,"if i die pls pay ai's gf 102k
i payn't my pulsa"
302,Jenuh
303,@Fairuzauliaaa Ini kalo gini caranya kamu yang buat saya gesreq wkwk
304,kesian tuh yg pnyanya cm motor itu2nya.. 😥😥😥
305,Baru saja mengirim foto @ Jakarta https://t.co/9QH50uoxzC
306,@FANBASENSFW Mba cott😶
307,@bubblelibble BBB
308,"@hobimales hehe sama, padahal gw juga gk tau nulis apaan itu. :("
309,"#02TunggangiIslam 
https://t.co/tBW0JIMmnJ"
310,"Lagi seneng lagu-lagu jatuh cinta belum tentu lagi bucin, tolong mengerti ya para rakyat jelata:)"
311,"Hujan diluar jendela dan lamunan yg terganggu oleh suara kodok yg rewel.
@___@
#bnw #bw #monochrome #blackandwhite… https://t.co/FktmAKwcEm"
312,@muchfamin @icangas Berapa duit untuk per-seasonnya?
313,"cita cita hari ini lembur kerjaan, tp kenyataan nonton my stupid boss 😂🤣"
314,@maulidickyp Kelas!
315,"@pln_123 mohon bantuan, tiba-tiba listrik di rumah mati dan muncul tulisan periksa pada meteran. Jumlah token masih… https://t.co/k4Bg0LBkBq"
316,ini kezukaan aq bangeddd! 😭
317,Q.
318,@Viasnida kirim foto2 ku yg semeru dong
319,@SabrianBR @MASirdatama @dhnranger21 Saya suka keributan
320,Selamat malam semua https://t.co/a7r9paumRv
321,Good night @zaraJKT48
